fold,text,id,label__decision_type_relevant,label__decision_type_sentiment_nonneutral,label__relevant,label__sentiment,label__who,label__decision_type_sentiment,label__decision_type_who
test,@Niams_Boy hemoglobin and I had my hepatitis b vaccine and you can't give if you got the shot in the last month. I'm gonna try in January.,537430692511363000    ,unanimous,,yes,,yes,,unanimous
train,Ladies are unconciously attracted to men who have better immune system than we do :3,535852667017658000    ,unanimous,,no,,,,
test,surprised that the whole penguins team doesn't have the mumps because oh no sid didn't have the mumps let's let him practice with eVERYONE,544290926563053000    ,unanimous,,no,,,,
test,"@Migwans haha, strong immune system = no fear",547503602403921000    ,unanimous,,no,,,,
train,"Australia Silences Criticism Of Vaccines, Benefits of Homeopathy http://t.co/Xdsy8UmJd8",550247081882169000    ,unanimous,,yes,neutral,no,majority,unanimous
train,@justsilly RST Dompet Dhuafa ? Sehat Milik Semua | IMMUNIZATION AS A HEALTH FUTURE INVESTMENT (PART I) http://t.co/AkYPgDBocC,558089659864346000    ,majority,,no,,,,
train,"""Jonas Salk developed the polio vaccine a few decades ago but did absolutely zilch in 2014. Embarrassing."" http://t.co/FHDgo7nTun",550338621283528000    ,unanimous,,yes,,no,,unanimous
dev,#Hepatitis news: Kiwi researcher's acclaim for breakthrough in hepatitis C treatment http://t.co/JL4qN4M2pH #pathogenposse,537869312313139000    ,unanimous,,no,,,,
dev,Are government health authorities taking away your choice to refuse vaccines? http://t.co/WlWl6uBvfY  (NaturalN... http://t.co/RpFg9fb70a,546367984802209000    ,unanimous,,yes,neutral,no,unanimous,unanimous
train,Check This Deal : http://t.co/WETJFCkKFC Monavie MMUN(Yellow) - 3 Cases: BEST Anti-Oxident Immune System Health... http://t.co/iHBgZQL9aH,553130335131930000    ,unanimous,,no,,,,
test,#bmj US provides immunity from legal claims related to three Ebola vaccines http://t.co/UQOTUeF9CH,542697158580133000    ,unanimous,,yes,neutral,no,unanimous,unanimous
dev,Thankful for my vitamin queen @donnaoliva1027 ... Bed time immune system boosts,540348645078732000    ,unanimous,,no,,,,
train,"These lively GIFs teach the world about safe vaccine transport: The less sexy a story, the better suited for C... http://t.co/n6Vis6XXas",552835072173543000    ,unanimous,majority,yes,positive,no,majority,unanimous
train,"Ight now common cold, you ain't gon be stayin up in my body without paying rent. Lucky I ain't call my immune system. You got 4 hours to go",546404012099379000    ,unanimous,,no,,,,
train,#bodycare |The immune system is designed to catch and eliminate all malignancy cells. Unbound Report:  http://t.co/pYBTQUF6P7,544754654312013000    ,unanimous,,no,,,,
train,I prolly have the worst immune system.,553484736807858000    ,unanimous,,no,,,,
train,10 Reasons Not To Vaccinate http://t.co/RL2YX2mzMv,544356151098216000    ,unanimous,unanimous,yes,negative,no,unanimous,unanimous
dev,"@Kn? Holding hands and kissing reduces levels of the stress hormone cortisol, lowering blood pressure and optimizing immune response.",548881207560110000    ,unanimous,,no,,,,
train,Coming to Vegas Real Soon!  #TeamThorobreadz rocking her Shingles Noir Jeanz which will now be retired!! Thanks... http://t.co/7TeZdmfOJc,555130749284663000    ,unanimous,,no,,,,
train,Does the sea get hepatitis ?,533678649107832000    ,unanimous,,no,,,,
train,"""@dna: Kashmir valley remains immune to Modi wave, all BJP candidates except one lose deposit http://t.co/wFE0GouHMm""@BJPRajnathSingh @ndtv",547382299679940000    ,unanimous,,no,,,,
train,Shock Admission: Babies Only Vaccinated to 'Train Parents' http://t.co/EkqkWeXnp6,533422106391101000    ,unanimous,majority,yes,negative,yes,majority,majority
train,Meningitis Signs and Symptoms by Meningitis Now @rlhughesAIM  https://t.co/xTn02up5NW http://t.co/c59B4RaqLs,535543567360733000    ,unanimous,,no,,,,
train,"Holiday Travel? Get Vaccinated First, or Bring Home Something?Unexpected http://t.co/dMKcEC6dnH",553349265641070000    ,unanimous,majority,yes,positive,no,majority,unanimous
train,My immune system is shit like if there's ever a bug going round or a cold you can guarantee I will have it,539050061909753000    ,unanimous,,no,,,,
train,"Fearmongering is afoot again with tetanus vaccine, this time in Kenya, and it's putting infants at risk #vaxfax http://t.co/6PzUpnhML1",534707702090702000    ,unanimous,unanimous,yes,positive,no,unanimous,unanimous
train,NEOSINE 50 tb Cold Flu Viral Infections Herpes Warts Immune Health Treatment NEW http://t.co/dC3836fEte #2334  ... http://t.co/uXZ5QM5jdC,552075160430583000    ,unanimous,,no,,,,
train,"#commuterchronicles judging by the sound of passengers coughing, I'd say a tuberculosis epidemic is due to break out in Boston soon.",554809252578349000    ,unanimous,,no,,,,
dev,hepa filter with low price http://t.co/3JKVI3nNp5,553005341114249000    ,unanimous,,no,,,,
test,@michroar1 do you have the mumps?,549028578793226000    ,unanimous,,no,,,,
dev,"@iava #healthcare | The Immune System can fight cancer, free of charge Tutorial:  http://t.co/VCEuRrGj7X",542717334691926000    ,unanimous,,no,,,,
train,My baby got her vaccines today. She was a good girl in the vets though and even sat on my lap for 10 minutes... http://t.co/U7nk21JCK4,543252390426599000    ,unanimous,,yes,,yes,,unanimous
train,They act like he didn't have mumps last week http://t.co/XT8hVpYoFs,544170820336386000    ,unanimous,,no,,,,
dev,@DP_Domenico31 I mean I assumed that but once it started going around why didn't they think HMM I should get the vaccine,543617493714366000    ,unanimous,unanimous,yes,positive,yes,unanimous,unanimous
dev,"If I had one wish, it would be as simple as being immune to the common cold. (Or as previously stated: being mindy kalings bff)",532631334410551000    ,unanimous,,no,,,,
dev,Beauty + Hot Deals = http://t.co/IJgT7rhqgc #2851 NEOSINE 50 tb Cold Flu Viral Infections Herpes Warts Immune H... http://t.co/uAPWFnoKSB,540042796322000000    ,unanimous,,no,,,,
train,Ronald is able to wipe an entire hoard of moblins using his trademark Artery Clogging Rain. He is immune because he was never alive...?,534218416874602000    ,unanimous,,no,,,,
dev,This weather sure did mess with my immune system!!,552154934422958000    ,unanimous,,no,,,,
train,"Member Post: Saint Ann?s Church in Old Lyme Hosts Four Winter Concerts, Ukrainian Vocal Group Sings Today http://t.co/Gn6SmaHXjM",557759948638404000    ,unanimous,,no,,,,
dev,Fast Chicken Pox Cure: Chicken pox guru reveals his proven method on how to cure chicken pox. http://t.co/oIT67wW27Q,532899891932962000    ,unanimous,,no,,,,
train,@hostgatorwork #health | In this report we?ll look at many Measures for bolster your immune system. FREE Writing:  http://t.co/AY9GGKlyZz,542262465354932000    ,unanimous,,no,,,,
test,Just because I'm from Ontario doesn't mean I'm immune to the cold,533727728625659000    ,unanimous,,no,,,,
train,I'm such a bitch when i heard you say whooping cough i blacked out i don't know what happened after that,535239107820400000    ,unanimous,,no,,,,
test,Flu Vaccine Only 23 Percent Effective This Season  http://t.co/oTV2Nvbi16,556178673926025000    ,unanimous,unanimous,yes,negative,no,unanimous,unanimous
dev,errrrrrrrybody was there. it was like a reunion ov the entire tuberculosis hospital without the whoopin cough!!!!!!!@W00denSpewn123,549013513226948000    ,unanimous,,no,,,,
train,i'm here i'm queer i have typhoid fever,534896954384199000    ,unanimous,,no,,,,
test,Cavernous transformation of the portal vein  17 year-old male. Unspecific immune defect with multiple organ... http://t.co/YUwJRU7MMQ,551173892732379000    ,unanimous,,no,,,,
dev,Pfizer Closes $635M Vaccines Purchase From Baxter http://t.co/4GtKkNYuY4,539475932260491000    ,unanimous,,yes,neutral,no,unanimous,unanimous
dev,Gunmen kill Pakistan polio workers #AsiaNews http://t.co/gnJbRrgFhP,537617280012926000    ,unanimous,,no,,,,
train,Chipotle gonna give u hepatitis C bruh.  RT @TallDarkNAnson: I wish I kould eat chipotle and pussy everyday,550003102724546000    ,unanimous,,no,,,,
test,"""New HPV vaccine strengthens cancer protection - Sioux City Journal"" http://t.co/GTYIfJmGW5 #digitalhealth #healthnews via @givingnews",543231331241426000    ,unanimous,unanimous,yes,positive,no,unanimous,unanimous
train,"@Rye1966 Geoff got giardia once in Yorks.  Think he's got Lyme disease now, off to docs tomorrow.",544246895598919000    ,unanimous,,no,,,,
train,"After 11 months of playing, I've finally gained 1000 MMR! http://t.co/CB0rAAPP1R",538582427292020000    ,unanimous,,no,,,,
test,Infographic: Romania?s second plague - Tuberculosis | Drugreporter http://t.co/mCcHhaEBrw,534983536248238000    ,unanimous,,no,,,,
train,You know what the pilgrims gave to the native Americans on the first Thanksgiving? Smallpox.,538092913767763000    ,unanimous,,no,,,,
train,"My immune system has failed me, once again.",551386492728512000    ,unanimous,,no,,,,
dev,Francois Beauchemin has the mumps. That is very unfortunate...hope he gets back on the ice soon.,532760880006438000    ,unanimous,,no,,,,
dev,I want a nose ring i should've gotten it done when I got my industrial but I had a cold stupid fuckin immune system failure,533994900870545000    ,unanimous,,no,,,,
dev,#Pakistani #Women Jundullah claims responsibility for attack on polio workers in Quetta http://t.co/SuAVLYWwT6,538319035155234000    ,unanimous,,no,,,,
train,The rationale behind our serious Fundraiser WGM via http://t.co/QvVBowA0os is a Polio?Fr? http://t.co/dDRHAxCOz0,556282035224854000    ,unanimous,,no,,,,
train,Ebola vaccine seems safe in first-stage testing - Boston Globe : http://t.co/HwyhSUncL6,537836999294849000    ,unanimous,,yes,neutral,no,unanimous,unanimous
test,Polio cases rise to 12 in Balochistan as another child falls prey - http://t.co/oTHFGHl5CC http://t.co/OcMyMFdfTg Top Google News,535276481681690000    ,unanimous,,no,,,,
dev,#Healing from Lyme #Disease http://t.co/iSOJchAhr0 #happy #fall #inflammation #healthyliving,544205550209482000    ,unanimous,,no,,,,
dev,Immune system will heal itself,537863780303003000    ,unanimous,,no,,,,
dev,Rossi has to be so pissed. More Pens with the mumps and nobody is giving him an answer as to why.,547074415675334000    ,unanimous,,no,,,,
train,You hear that? The President wants you to vaccinate your damn kids. #SOTU2015,557732759758962000    ,unanimous,,yes,neutral,no,unanimous,unanimous
train,"Injectable 3-D vaccines could fight cancer, infectious diseases http://t.co/lpxM4oRAXC",542277151160950000    ,unanimous,,yes,neutral,no,majority,unanimous
test,A refined jolly make it anticipate alterum exception taken of varicella dehydrate: NpHsMUsI,546880466062548000    ,unanimous,,no,,,,
dev,Cuddling strengthens the immune system and can also help reduce emotional stress.,555824279606943000    ,unanimous,,no,,,,
test,"""Tsh, I am immune to your bullets!  - So am I!   - NOOOOOOO""",536135892004773000    ,unanimous,,no,,,,
test,Inhaled Ebola Vaccine Works In?Monkeys http://t.co/8mftcjfQM9,539543823940988000    ,unanimous,,yes,neutral,no,unanimous,unanimous
dev,update PLEASE Help Heather Fight Lyme Disease http://t.co/1y2Hui8J1U via @gofundme,548549102032523000    ,unanimous,,no,,,,
train,"?@TheUnusualFact: Cuddling literally kills depression, relieves anxiety, and strengthens the immune system.? someone cuddle with me",534225064364113000    ,unanimous,,no,,,,
train,Study: Flu Vaccine Causes 5.5 Times More Respiratory Infections ? A True Vaccinated vs. Unvaccinated Study http://t.co/VdLcgr2iwr,555066900942561000    ,unanimous,unanimous,yes,negative,no,unanimous,unanimous
train,"@missclayuree my first thought was ""did  he not get vaccinated??""",544202651932426000    ,unanimous,,yes,,no,,unanimous
test,@JoeCienkowski Your beliefs don't dictate mine. Do you have a source for that claim? Antibiotics and vaccines definitely combat evo.,547850866632687000    ,unanimous,unanimous,yes,negative,no,unanimous,unanimous
dev,"@twt_dota 4.5k mmr above, pinoy is good",539673569727234000    ,unanimous,,no,,,,
dev,@shineeltmn @zhouixuan @jejdeha hepatitis yg kek gimana???,534228865745301000    ,unanimous,,no,,,,
test,Is It A Chest Cold Or Is It Tuberculosis: 2015 a year in review,551175944212606000    ,unanimous,,no,,,,
train,"NHLer Beau Bennett -- Might Have Mumps, Might Have Given It to Sick Kids http://t.co/nijUEJu9Wj http://t.co/TLdGlumpQs",544614642329616000    ,unanimous,,no,,,,
train,@KDPomp @penguins why in the world was he allowed near the team if there's even a chance he has the mumps?!?!,543513441617854000    ,unanimous,,no,,,,
train,And these children that you spit on as they try to change their worlds are immune to your consultations...!!!!!,550920103064522000    ,unanimous,,no,,,,
dev,"So far, Sac McNads has died. Tupac has cholera. Mike Rotch has a fever. #LiveTweetOregonTrail",554102568348303000    ,unanimous,,no,,,,
train,@670TheScore   Mumps?,545725630290358000    ,unanimous,,no,,,,
train,"Dear Santa, please send me a new immune system, a masseur, free Sunday Roasts for a year and a man who isn't a complete cock.",546606634798436000    ,unanimous,,no,,,,
train,http://t.co/6a2CmCSs9s | Too late for new vaccine against mutated flu virus http://t.co/cSfK6E9RKu,540752923417116000    ,unanimous,,yes,neutral,no,majority,unanimous
test,"Can vaccines cause autism, cancer, other deadly diseases? What does that mean about Ebola?vaccine? http://t.co/rgatlp6SZy",533469743982706000    ,unanimous,,yes,neutral,no,unanimous,unanimous
test,Mumps outbreak hits US hockey teams http://t.co/aQGM05E0jq,545435222066479000    ,unanimous,,no,,,,
train,UPDATE: HARRY GOT CHOLERA AND DIED.  LIAM IS STILL ALIVE.,553402060238888000    ,unanimous,,no,,,,
train,Australia. Federal court finds homeopathic 'vaccines' for whooping cough misleading. http://t.co/JS9POs1kpc,547755909800550000    ,unanimous,,yes,neutral,no,majority,unanimous
train,Only true meta I have is Typhoid Mary. I need to actually use her.,542205910840389000    ,unanimous,,no,,,,
